Incident ID,Incident Type,Severity,Description,Status,Time Reported,Time Resolved,Solution,Category,Root Cause
INC0001,Application Bug,Medium,UI freezing,Closed,2024-05-08 21:57:08.781780,2024-05-08 22:57:08.781780,Release a new update,Application,Crash due to high traffic
INC0002,Network Issue,Critical,Slow network speed,Open,2024-06-22 04:57:08.781807,2024-06-23 12:57:08.781807,Reset router,Security,Phishing attack
INC0003,Network Issue,Medium,Slow network speed,Open,2024-05-26 18:57:08.781820,2024-05-27 14:57:08.781820,Increase bandwidth,Database,Connection timeout
INC0004,Security Breach,Critical,Malware infection,Resolved,2024-07-20 00:57:08.781832,2024-07-22 19:57:08.781832,Change credentials,Server,Hardware failure
INC0005,Application Bug,Critical,UI freezing,Open,2024-02-05 05:57:08.781853,2024-02-06 17:57:08.781853,Release a new update,Network,Router failure
INC0006,Server Failure,Low,Server crash due to high load,Closed,2024-12-18 06:57:08.781865,2024-12-18 22:57:08.781865,Reboot server,Security,Data breach
INC0007,Security Breach,Medium,Malware infection,Closed,2024-02-25 03:57:08.781875,2024-02-26 17:57:08.781875,Run antivirus scan,Database,Connection timeout
INC0008,Server Failure,Critical,Overloaded server,Resolved,2023-12-20 08:57:08.781886,2023-12-20 14:57:08.781886,Reboot server,Server,Power outage
INC0009,Network Issue,Critical,Network connectivity issues,Closed,2024-11-06 13:57:08.781897,2024-11-07 15:57:08.781897,Increase bandwidth,Server,Hardware failure
INC0010,Network Issue,High,Network connectivity issues,Resolved,2024-01-15 11:57:08.781907,2024-01-16 12:57:08.781907,Reset router,Database,Query performance issue
INC0011,Network Issue,Medium,DNS resolution problem,Resolved,2024-07-18 23:57:08.781917,2024-07-19 10:57:08.781917,Clear DNS cache,Network,Cable disconnection
INC0012,Application Bug,High,Memory leak,Closed,2024-06-18 05:57:08.781928,2024-06-20 22:57:08.781928,Fix memory leak,Application,Crash due to high traffic
INC0013,Application Bug,High,UI freezing,Closed,2024-06-22 06:57:08.781938,2024-06-23 11:57:08.781938,Fix memory leak,Database,Connection timeout
INC0014,Application Bug,Medium,UI freezing,Resolved,2024-04-07 10:57:08.781949,2024-04-09 15:57:08.781949,Release a new update,Database,Query performance issue
INC0015,Database Error,Critical,Database connection failure,Closed,2024-12-04 08:57:08.781959,2024-12-04 15:57:08.781959,Restart database,Application,Memory leak
INC0016,Network Issue,High,Network connectivity issues,Closed,2024-09-11 19:57:08.781969,2024-09-12 07:57:08.781969,Reset router,Security,Malware infection
INC0017,Server Failure,Critical,Overloaded server,Open,2024-05-07 08:57:08.781979,2024-05-09 22:57:08.781979,Increase server resources,Security,Data breach
INC0018,Security Breach,High,Phishing attack,Resolved,2024-01-10 14:57:08.781989,2024-01-11 02:57:08.781989,Patch vulnerabilities,Network,Router failure
INC0019,Server Failure,Medium,Server downtime,Closed,2024-12-04 09:57:08.782000,2024-12-05 07:57:08.782000,Increase server resources,Database,Data corruption
INC0020,Network Issue,Critical,Network connectivity issues,Open,2024-12-06 17:57:08.782010,2024-12-08 08:57:08.782010,Clear DNS cache,Server,Configuration issue
INC0021,Security Breach,High,Malware infection,Closed,2024-09-04 08:57:08.782020,2024-09-07 03:57:08.782020,Patch vulnerabilities,Application,Bug in code
